county_fips,state_abbr,county_name,poverty_pct,data_value
12009,FL,Brevard,9.9,13.1
12017,FL,Citrus,15.5,15.8
20081,KS,Haskell,10.8,13.2
27013,MN,Blue Earth,16.3,9.4
36069,NY,Ontario,9.2,10.5
40055,OK,Greer,14.7,13
47173,TN,Union,13.9,14.6
51009,VA,Amherst,10.8,15.1
51015,VA,Augusta,7.3,13.2
01095,AL,Marshall,16.3,12.4
05061,AR,Howard,19.8,15.2
06051,CA,Mono,11,10.5
01039,AL,Covington,18,12.8
05147,AR,Woodruff,22.8,18.3
06011,CA,Colusa,10.8,13.4
05057,AR,Hempstead,19,13.6
05093,AR,Mississippi,21,13.4
02122,AK,Kenai Peninsula,11.6,9.8
05043,AR,Drew,22.7,13.5
02185,AK,North Slope,8.3,10.8
05145,AR,White,16.4,10.9
01123,AL,Tallapoosa,15.2,16.8
05031,AR,Craighead,19.1,11.6
01007,AL,Bibb,20.5,16.2
01061,AL,Geneva,19.1,16.4
01075,AL,Lamar,15.1,16.7
05101,AR,Newton,13.3,10.9
05117,AR,Prairie,9.4,15.1
05045,AR,Faulkner,15,10.8
05041,AR,Desha,28.9,17.1
05047,AR,Franklin,18.9,14.6
01077,AL,Lauderdale,13.6,11
01025,AL,Clarke,20.5,14.9
02060,AK,Bristol Bay,9.7,9.1
06033,CA,Lake,16.7,10.7
01043,AL,Cullman,13.9,11
05003,AR,Ashley,22.7,18.3
06061,CA,Placer,6.7,7.9
06003,CA,Alpine,12.3,8.5
01113,AL,Russell,22.2,17.3
02290,AK,Yukon-Koyukuk,20.8,13.9
05103,AR,Ouachita,17.9,17.7
05079,AR,Lincoln,17.7,13.5
05005,AR,Baxter,14.5,10.3
05035,AR,Crittenden,20.7,14.8
05051,AR,Garland,16.5,14.8
06037,CA,Los Angeles,13.6,11.6
04025,AZ,Yavapai,12.6,8
04001,AZ,Apache,31.2,15.3
06015,CA,Del Norte,11.6,12.5
05131,AR,Sebastian,16.3,11.5
04012,AZ,La Paz,18.4,11.5
01045,AL,Dale,18.7,15.8
01029,AL,Cleburne,13.2,11.7
02050,AK,Bethel,24,14.7
01021,AL,Chilton,13.6,12
01081,AL,Lee,18.9,12.7
04021,AZ,Pinal,10.9,12.9
06043,CA,Mariposa,13.9,13.5
06001,CA,Alameda,9.2,11
01059,AL,Franklin,17.4,16.4
01133,AL,Winston,19.5,12.7
05095,AR,Monroe,22.2,14.3
05099,AR,Nevada,28.5,18.3
05109,AR,Pike,18.8,14.4
05113,AR,Polk,19,15.5
02016,AK,Aleutians West,9.2,11.4
02066,AK,Copper River,11.4,8.9
05107,AR,Phillips,28.7,17.2
05129,AR,Searcy,24.5,17.6
01043,AL,Cullman,13.9,13.4
05095,AR,Monroe,22.2,19.1
05013,AR,Calhoun,13.3,14.6
05099,AR,Nevada,28.5,14.2
01031,AL,Coffee,17.6,12.7
02070,AK,Dillingham,16.3,12.5
05113,AR,Polk,19,11.8
02050,AK,Bethel,24,13.8
05061,AR,Howard,19.8,12.5
01091,AL,Marengo,22.6,16.1
04021,AZ,Pinal,10.9,10.9
06041,CA,Marin,7.8,10.2
05055,AR,Greene,17,12.5
06015,CA,Del Norte,11.6,10.2
01107,AL,Pickens,22.6,15.2
02100,AK,Haines,6.1,10.8
06031,CA,Kings,16.8,12.1
05109,AR,Pike,18.8,11.4
01081,AL,Lee,18.9,12.5
05147,AR,Woodruff,22.8,13.7
02275,AK,Wrangell,10.9,9.1
06001,CA,Alameda,9.2,10.1
04012,AZ,La Paz,18.4,17.5
01029,AL,Cleburne,13.2,14.6
05017,AR,Chicot,24.4,20.5
02060,AK,Bristol Bay,9.7,11.3
01109,AL,Pike,23.4,14.1
05047,AR,Franklin,18.9,11.7
02290,AK,Yukon-Koyukuk,20.8,16.5
01083,AL,Limestone,10.1,10.9
06065,CA,Riverside,11.1,11.3
01039,AL,Covington,18,16.3
05107,AR,Phillips,28.7,21.7
05089,AR,Marion,17.8,11.1
01085,AL,Lowndes,29.6,19.4
05069,AR,Jefferson,20.6,15.1
01007,AL,Bibb,20.5,13.9
01077,AL,Lauderdale,13.6,12.9
